iter	Logloss
0	0.673875274
1	0.65305361
2	0.6363350351
3	0.6181305562
4	0.6016371495
5	0.583025939
6	0.5664023299
7	0.5502236173
8	0.5355190713
9	0.5206888757
10	0.507328756
11	0.494142921
12	0.4813336533
13	0.470112555
14	0.458142965
15	0.4476907305
16	0.4380927967
17	0.4268496307
18	0.4178584944
19	0.4096163369
20	0.4016469966
21	0.3928325678
22	0.3843096223
23	0.3771593518
24	0.3685508796
25	0.3622696909
26	0.3552520071
27	0.3488583882
28	0.3421006557
29	0.3367316005
30	0.3304208238
31	0.3246061873
32	0.3183949703
33	0.3125669243
34	0.3083871747
35	0.3040590802
36	0.2999638641
37	0.2953800779
38	0.2904205295
39	0.2864233893
40	0.2825228038
41	0.2789306745
42	0.2749072676
43	0.2721043156
44	0.2690610082
45	0.2657968284
46	0.2627232417
47	0.2598364654
48	0.2568551344
49	0.2545174583
50	0.2513962933
51	0.2485997941
52	0.2462363635
53	0.244189474
54	0.2411249548
55	0.2384325643
56	0.236438828
57	0.2340511363
58	0.2320806874
59	0.2299991738
60	0.2275534793
61	0.2252024014
62	0.2234358648
63	0.2214853669
64	0.2195911851
65	0.2178428044
66	0.2162974052
67	0.2146941535
68	0.2129735683
69	0.2115663431
70	0.210095947
71	0.2084786848
72	0.2065893748
73	0.205152048
74	0.2037855865
75	0.2023220765
76	0.2009843151
77	0.1996068327
78	0.198387834
79	0.1968263573
80	0.1955755127
81	0.194434851
82	0.1933956269
83	0.1923901205
84	0.1914182828
85	0.1903210538
86	0.1891828706
87	0.1879763482
88	0.1867921699
89	0.1857587612
90	0.1847027807
91	0.1836822447
92	0.1828546239
93	0.1820042063
94	0.1809325569
95	0.1801716238
96	0.1793804126
97	0.178358507
98	0.1773934175
99	0.1766339012
100	0.175921331
101	0.175244869
102	0.1743125665
103	0.1734906753
104	0.1727092418
105	0.171834814
106	0.1710006741
107	0.1704276499
108	0.1696881372
109	0.1689465438
110	0.1680461032
111	0.1672917291
112	0.166623517
113	0.1659278275
114	0.1650474264
115	0.1644123389
116	0.163699626
117	0.1629518436
118	0.1623701162
119	0.1617719415
120	0.1610845836
121	0.1605877157
122	0.1599267715
123	0.1593190123
124	0.1586562695
125	0.1581167768
126	0.1575173389
127	0.1569813158
128	0.1565327312
129	0.1560290766
130	0.1554065372
131	0.1549554566
132	0.1544653981
133	0.15389294
134	0.1534592646
135	0.1528725825
136	0.152267826
137	0.1518546973
138	0.1513494226
139	0.1509251943
140	0.1505344664
141	0.1500767177
142	0.1495733491
143	0.1491215035
144	0.148628563
145	0.1481995362
146	0.1477810929
147	0.1473285326
148	0.1469085661
149	0.1464437206
150	0.1459939494
151	0.1455980982
152	0.1451801955
153	0.1447289587
154	0.1442927392
155	0.1438539625
156	0.1433367776
157	0.1430832615
158	0.1426115966
159	0.1421468537
160	0.1415779079
161	0.1411336604
162	0.1407518297
163	0.1403272729
164	0.1399553213
165	0.1395980236
166	0.1392888161
167	0.1390322869
168	0.1387042254
169	0.1383637866
170	0.137964714
171	0.1376346285
172	0.1372146394
173	0.1368756308
174	0.1365709971
175	0.1362098044
176	0.1359313275
177	0.1355757126
178	0.135169972
179	0.1347082019
180	0.1343946841
181	0.1341096726
182	0.1337818218
183	0.1334147221
184	0.1330070667
185	0.1327746906
186	0.1325467334
187	0.1322094209
188	0.1319069293
189	0.1315993603
190	0.1312378127
191	0.130962688
192	0.1306302382
193	0.1303511088
194	0.1300464662
195	0.1298256603
196	0.1294308418
197	0.1290620826
198	0.1286608361
199	0.1283702576
